date,close
2017-12-19,1.8443
2017-12-20,1.8302
2017-12-21,1.8406
2017-12-22,1.8406
2017-12-25,1.8238
2017-12-26,1.8358
2017-12-27,1.819
2017-12-28,1.8286
2017-12-29,1.8471
2018-01-02,1.8717
2018-01-03,1.8838
2018-01-04,1.8911
2018-01-05,1.8944
2018-01-08,1.9031
2018-01-09,1.9014
2018-01-10,1.8919
2018-01-11,1.8964
2018-01-12,1.8869
2018-01-15,1.8465
2018-01-16,1.8563
2018-01-17,1.8457
2018-01-18,1.8527
2018-01-19,1.8473
2018-01-22,1.8709
2018-01-23,1.8734
2018-01-24,1.8877
2018-01-25,1.8849
2018-01-26,1.8866
2018-01-29,1.8622
2018-01-30,1.8619
2018-01-31,1.8224
2018-02-01,1.7677
2018-02-02,1.7669
2018-02-05,1.7638
2018-02-06,1.6839
2018-02-07,1.6859
2018-02-08,1.7007
2018-02-09,1.636
2018-02-12,1.6803
2018-02-13,1.6906
2018-02-14,1.6962
2018-02-22,1.7316
2018-02-23,1.7341
2018-02-26,1.7809
2018-02-27,1.7728
2018-02-28,1.7733
2018-03-01,1.7977
2018-03-02,1.789
2018-03-05,1.7868
2018-03-06,1.8109
2018-03-07,1.7938
2018-03-08,1.8101
2018-03-09,1.8344
2018-03-12,1.8543
2018-03-13,1.8457
2018-03-14,1.8221
2018-03-15,1.8187
2018-03-16,1.8087
2018-03-19,1.8157
2018-03-20,1.8165
2018-03-21,1.8016
2018-03-22,1.8014
2018-03-23,1.7077
2018-03-26,1.7419
2018-03-27,1.7815
2018-03-28,1.7613
2018-03-29,1.7798
2018-03-30,1.8033
2018-04-02,1.8008
2018-04-03,1.7865
2018-04-04,1.7719
2018-04-09,1.7747
2018-04-10,1.7885
2018-04-11,1.7916
2018-04-12,1.782
2018-04-13,1.7761
2018-04-16,1.7708
2018-04-17,1.7391
2018-04-18,1.7582
2018-04-19,1.7666
2018-04-20,1.7355
2018-04-23,1.7167
2018-04-24,1.7532
2018-04-25,1.7548
2018-04-26,1.7234
2018-04-27,1.731
2018-05-02,1.7265
2018-05-03,1.7433
2018-05-04,1.7422
2018-05-07,1.7759
2018-05-08,1.7843
2018-05-09,1.7773
2018-05-10,1.7845
2018-05-11,1.7705
2018-05-14,1.7621
2018-05-15,1.7789
2018-05-16,1.7745
2018-05-17,1.7632
2018-05-18,1.7745
2018-05-21,1.7944
2018-05-22,1.8016
2018-05-23,1.7778
2018-05-24,1.7722
2018-05-25,1.7487
2018-05-28,1.7453
2018-05-29,1.7234
2018-05-30,1.6839
2018-05-31,1.7038
2018-06-01,1.6839
2018-06-04,1.6836
2018-06-05,1.7122
2018-06-06,1.7105
2018-06-07,1.7013
2018-06-08,1.6805
2018-06-11,1.6702
2018-06-12,1.6839
2018-06-13,1.6601
2018-06-14,1.6573
2018-06-15,1.6278
2018-06-19,1.5247
2018-06-20,1.5381
2018-06-21,1.511
2018-06-22,1.5306
2018-06-25,1.5166
2018-06-26,1.5297
2018-06-27,1.509
2018-06-28,1.4978
2018-06-29,1.5505
2018-07-02,1.5255
2018-07-03,1.5415
2018-07-04,1.5205
2018-07-05,1.4801
2018-07-06,1.4807
2018-07-09,1.5188
2018-07-10,1.5269
2018-07-11,1.4981
2018-07-12,1.5418
2018-07-13,1.5457
2018-07-16,1.5474
2018-07-17,1.5421
2018-07-18,1.5348
2018-07-19,1.5219
2018-07-20,1.5407
2018-07-23,1.5522
2018-07-24,1.5782
2018-07-25,1.5785
2018-07-26,1.5693
2018-07-27,1.5611
2018-07-30,1.5376
2018-07-31,1.5409
2018-08-01,1.5168
2018-08-02,1.4818
2018-08-03,1.4675
2018-08-06,1.4367
2018-08-07,1.4723
2018-08-08,1.4535
2018-08-09,1.4902
2018-08-10,1.4964
2018-08-13,1.5056
2018-08-14,1.4981
2018-08-15,1.4683
2018-08-16,1.4554
2018-08-17,1.4294
2018-08-20,1.4375
2018-08-21,1.4521
2018-08-22,1.4426
2018-08-23,1.4496
2018-08-24,1.4442
2018-08-27,1.4801
2018-08-28,1.4818
2018-08-29,1.4742
2018-08-30,1.4521
2018-08-31,1.4361
2018-09-03,1.4428
2018-09-04,1.4532
2018-09-05,1.4344
2018-09-06,1.428
2018-09-07,1.4257
2018-09-10,1.4039
2018-09-11,1.4019
2018-09-12,1.3974
2018-09-13,1.4053
2018-09-14,1.3904
2018-09-17,1.3736
2018-09-18,1.3938
2018-09-19,1.4103
2018-09-20,1.41
2018-09-21,1.4369
2018-09-25,1.4291
2018-09-26,1.4319
2018-09-27,1.417
2018-09-28,1.4358
2018-10-08,1.3854
2018-10-09,1.3812
2018-10-10,1.3809
2018-10-11,1.2766
2018-10-12,1.2716
2018-10-15,1.2497
2018-10-16,1.2264
2018-10-17,1.2317
2018-10-18,1.2046
2018-10-19,1.2295
2018-10-22,1.3013
2018-10-23,1.2699
2018-10-24,1.2662
2018-10-25,1.2659
2018-10-26,1.2598
2018-10-29,1.2446
2018-10-30,1.2561
2018-10-31,1.2752
2018-11-01,1.2842
2018-11-02,1.3315
2018-11-05,1.3248
2018-11-06,1.3273
2018-11-07,1.3147
2018-11-08,1.306
2018-11-09,1.3066
2018-11-12,1.3408
2018-11-13,1.3674
2018-11-14,1.3613
2018-11-15,1.3854
2018-11-16,1.3938
2018-11-19,1.3943
2018-11-20,1.3573
2018-11-21,1.3604
2018-11-22,1.3604
2018-11-23,1.3027
2018-11-26,1.3052
2018-11-27,1.3119
2018-11-28,1.3313
2018-11-29,1.3044
2018-11-30,1.3116
2018-12-03,1.3534
2018-12-04,1.3587
2018-12-05,1.3498
2018-12-06,1.3206
2018-12-07,1.3209
2018-12-10,1.3046
2018-12-11,1.3186
2018-12-12,1.3156
2018-12-13,1.3352
2018-12-14,1.3063
2018-12-17,1.2993
2018-12-18,1.2898
2018-12-19,1.271
2018-12-20,1.2788
2018-12-21,1.2721
2018-12-24,1.283
2018-12-25,1.2662
2018-12-26,1.2617
2018-12-27,1.246
2018-12-28,1.2477
2019-01-02,1.236
2019-01-03,1.2329
2019-01-04,1.2665
2019-01-07,1.2884
2019-01-08,1.2856
2019-01-09,1.2847
2019-01-10,1.287
2019-01-11,1.2937
2019-01-14,1.287
2019-01-15,1.3049
2019-01-16,1.3027
2019-01-17,1.2923
2019-01-18,1.306
2019-01-21,1.3108
2019-01-22,1.2917
2019-01-23,1.2931
2019-01-24,1.3021
2019-01-25,1.2957
2019-01-28,1.2912
2019-01-29,1.2741
2019-01-30,1.2648
2019-01-31,1.2567
2019-02-01,1.2945
2019-02-11,1.3226
2019-02-12,1.3296
2019-02-13,1.354
2019-02-14,1.3596
2019-02-15,1.35
2019-02-18,1.4033
2019-02-19,1.3971
2019-02-20,1.3943
2019-02-21,1.3957
2019-02-22,1.4397
2019-02-25,1.5359
2019-02-26,1.5154
2019-02-27,1.5034
2019-02-28,1.5048
2019-03-01,1.5227
2019-03-04,1.5435
2019-03-05,1.5883
2019-03-06,1.6194
2019-03-07,1.6326
2019-03-08,1.5788
2019-03-11,1.6365
2019-03-12,1.6632
2019-03-13,1.6239
2019-03-14,1.5861
2019-03-15,1.6035
2019-03-18,1.6548
2019-03-19,1.6517
2019-03-20,1.652
2019-03-21,1.6702
2019-03-22,1.6881
2019-03-25,1.6637
2019-03-26,1.6138
2019-03-27,1.6337
2019-03-28,1.6107
2019-03-29,1.6657
2019-04-01,1.7316
2019-04-02,1.7302
2019-04-03,1.7503
2019-04-04,1.7663
2019-04-08,1.7464
2019-04-09,1.754
2019-04-10,1.7498
2019-04-11,1.7201
2019-04-12,1.7156
2019-04-15,1.6929
2019-04-16,1.733
2019-04-17,1.7361
2019-04-18,1.7302
2019-04-19,1.745
2019-04-22,1.7164
2019-04-23,1.6842
2019-04-24,1.7007
2019-04-25,1.6402
2019-04-26,1.625
2019-04-29,1.585
2019-04-30,1.59
2019-05-06,1.4728
2019-05-07,1.4857
2019-05-08,1.4793
2019-05-09,1.4686
2019-05-10,1.5182
2019-05-13,1.4961
2019-05-14,1.4902
2019-05-15,1.5199
2019-05-16,1.5337
2019-05-17,1.4857
2019-05-20,1.4745
2019-05-21,1.4992
2019-05-22,1.4944
2019-05-23,1.4655
2019-05-24,1.4574
2019-05-27,1.4891
2019-05-28,1.486
2019-05-29,1.4866
2019-05-30,1.4821
2019-05-31,1.4748
2019-06-03,1.4633
2019-06-04,1.4437
2019-06-05,1.4386
2019-06-06,1.4064
2019-06-10,1.4212
2019-06-11,1.4801
2019-06-12,1.4644
2019-06-13,1.4692
2019-06-14,1.447
2019-06-17,1.4465
2019-06-18,1.4431
2019-06-19,1.4616
2019-06-20,1.4922
2019-06-21,1.5115
2019-06-24,1.5112
2019-06-25,1.4964
2019-06-26,1.4961
2019-06-27,1.509
